Step,Position X,Position Y,Position Z,Orientation Roll,Orientation Pitch,Orientation Yaw,Initial Z,Final Z,Delta Z,Success
1,0.17782207264032504,0.024009690672491646,0.7079415388086512,0.2390399328892895,-0.06835869494169447,-0.9675716355371679,0.4,0.02498811347087051,-0.37501188652912953,0
2,0.20809762713682983,-0.018069064967066076,0.7978518783417398,0.0049011674201030805,0.22872320807976088,0.9725148304158366,0.4,0.02498746070792906,-0.37501253929207096,0
3,0.17248679191347893,0.05882417548538689,0.7847870136061538,0.014598271306510922,0.1632104020149611,-0.9720899393045389,0.4,0.024988374604055705,-0.3750116253959443,0
4,0.18058106098931292,0.004855654886506942,0.7123144370795236,0.22436378464260673,-0.06988233516727703,-0.9719895685454633,0.4,0.5898840194426467,0.18988401944264666,1
5,0.25045872935371366,0.03908900663982348,0.6777951519806322,0.23195418032866422,-0.15671819449170948,-0.9593989353903922,0.4,0.02498552744384753,-0.3750144725561525,0
1,0.2254008957739062,0.046162033782945575,0.6186609994335419,0.33850888657307376,-0.16008372989059583,-0.9268660146438621,0.4,0.024987991625515186,-0.37501200837448484,0
1,0.29295138218229083,-0.011553884676551204,0.7571111449780243,-0.06747320195041474,0.1915123122398102,0.9786076661310869,0.4,0.5442445106644199,0.1442445106644199,1
2,0.2840699857427794,0.006484728598508856,0.6165532329139404,0.2821470710524721,0.037306457422859866,-0.9584158176685212,0.4,0.02498835413939683,-0.3750116458606032,0
3,0.21788587892178493,0.05120955159127119,0.6657886566200432,0.2708099733354945,-0.022758362151254076,-0.9575612900371727,0.4,0.02498755875075184,-0.3750124412492482,0
0,0,0,0.4,0,0,0,0.4,0.024987949358405773,-0.37501205064159426,0
1,0,0,0.4,0,0,0,0.4,0.024987948652076514,-0.3750120513479235,0
2,0,0,0.4,0,0,0,0.4,0.024987947944799853,-0.37501205205520016,0
3,0,0,0.4,0,0,0,0.4,0.024987947236575492,-0.37501205276342453,0
4,0,0,0.4,0,0,0,0.4,0.024987946527401356,-0.3750120534725987,0
5,0,0,0.4,0,0,0,0.4,0.02498794581727634,-0.37501205418272365,0
6,0,0,0.4,0,0,0,0.4,0.024987945106200823,-0.3750120548937992,0
0,0,0,0.4,0,0,0,0.4,0.024987949358405773,-0.37501205064159426,0
1,0,0,0.4,0,0,0,0.4,0.024987948652076514,-0.3750120513479235,0
